area_level,area_level_label,area_id,area_name,sex,indicator,indicator_label,mean,se,median,mode,lower,upper
3,District,MWI_3_01,Chitipa,female,plhiv,PLHIV,3523.01939635489,276.491304429864,3509.38618140406,3496.92036004935,3016.07669224667,4075.36500327364
3,District,MWI_3_01,Chitipa,male,plhiv,PLHIV,2485.24270121648,196.246698133234,2468.11440186768,2464.07651010607,2122.43174077834,2882.78635242242
3,District,MWI_3_01,Chitipa,both,unaware_plhiv_num,Number PLHIV unaware,397.42970218435,89.960771129068,386.932849767128,380.342860975798,246.586641538836,595.067864589317
3,District,MWI_3_01,Chitipa,female,unaware_plhiv_num,Number PLHIV unaware,104.824634474252,24.0661717029471,102.69220108877,100.234791085717,65.1211288494751,158.339394968543
3,District,MWI_3_01,Chitipa,male,unaware_plhiv_num,Number PLHIV unaware,292.605067710098,67.6150833241119,283.093998875008,280.383358678144,178.667793619004,438.454756195253
3,District,MWI_3_01,Chitipa,both,aware_plhiv_num,Number PLHIV aware,5610.83239538702,418.16189801198,5587.59931771755,5586.42461647078,4847.02402885004,6449.14324424222
3,District,MWI_3_01,Chitipa,female,aware_plhiv_num,Number PLHIV aware,3418.19476188064,259.202524515333,3399.96514297468,3405.14251536175,2955.30028521741,3931.23233717693
3,District,MWI_3_01,Chitipa,male,aware_plhiv_num,Number PLHIV aware,2192.63763350638,162.998360346487,2179.1531051763,2181.26995641813,1901.31854523076,2526.5043061931
3,District,MWI_3_02,Karonga,both,plhiv,PLHIV,17521.5188617524,640.243175901124,17527.2560058265,17451.693228282,16319.0001655273,18816.6325403969
3,District,MWI_3_02,Karonga,female,plhiv,PLHIV,10692.1307594269,376.888243262955,10673.1098202624,10655.0351877329,9970.19970594986,11469.8698095752
3,District,MWI_3_02,Karonga,male,plhiv,PLHIV,6829.38810232545,279.313082198013,6828.72252000393,6796.11582983352,6305.19435256298,7391.00787876677
3,District,MWI_3_02,Karonga,both,unaware_plhiv_num,Number PLHIV unaware,1037.82967608665,211.639025591908,1015.51761894939,1003.84517264071,694.135040170428,1505.67960608952
3,District,MWI_3_02,Karonga,female,unaware_plhiv_num,Number PLHIV unaware,289.763443743603,59.4416825564561,283.182260747142,280.357127916996,193.110165148381,418.326991986298
3,District,MWI_3_02,Karonga,male,unaware_plhiv_num,Number PLHIV unaware,748.066232343045,158.601561338966,733.759150486269,723.216203462255,484.432030762543,1106.97597851627
3,District,MWI_3_02,Karonga,both,aware_plhiv_num,Number PLHIV aware,16483.6891856657,520.476266051645,16481.5631244513,16460.8881328706,15477.99335696,17520.9824334079
3,District,MWI_3_02,Karonga,female,aware_plhiv_num,Number PLHIV aware,10402.3673156833,324.489201383508,10392.8540988944,10393.2290949233,9759.28599611805,11046.0875033976
3,District,MWI_3_02,Karonga,male,aware_plhiv_num,Number PLHIV aware,6081.32186998241,207.365442604991,6081.90925104858,6067.61683546947,5671.57820399401,6484.10547822079
3,District,MWI_3_03,Nkhatabay,both,plhiv,PLHIV,15436.7018922693,1251.74368098763,15435.9328453961,15394.9371125669,13144.7390425544,18002.0625932442
3,District,MWI_3_03,Nkhatabay,female,plhiv,PLHIV,8946.98441350355,721.930686603484,8950.10191077925,8927.64060788887,7617.19452152037,10386.8580745197
3,District,MWI_3_03,Nkhatabay,male,plhiv,PLHIV,6489.71747876572,536.675493682606,6492.38940563231,6466.82472316061,5524.15953355663,7581.64984200592
3,District,MWI_3_03,Nkhatabay,both,unaware_plhiv_num,Number PLHIV unaware,999.873326020875,198.197903085673,987.362404789875,970.200292044306,645.479652332274,1429.736982156
3,District,MWI_3_03,Nkhatabay,female,unaware_plhiv_num,Number PLHIV unaware,260.71118068458,52.4160019167857,256.85061267167,252.751645881019,169.523739992253,372.060943086149
3,District,MWI_3_03,Nkhatabay,male,unaware_plhiv_num,Number PLHIV unaware,739.162145336295,149.035725871179,734.768871229871,718.15780375438,476.995171319169,1055.24640250916
3,District,MWI_3_03,Nkhatabay,both,aware_plhiv_num,Number PLHIV aware,14436.8285662484,1159.81222989614,14460.0727638718,14434.7950631646,12317.2949734143,16703.9283477591
3,District,MWI_3_03,Nkhatabay,female,aware_plhiv_num,Number PLHIV aware,8686.27323281897,700.077479662138,8694.47389108198,8690.68272874913,7414.60081757459,10036.6690010932
3,District,MWI_3_03,Nkhatabay,male,aware_plhiv_num,Number PLHIV aware,5750.55533342943,464.502453938453,5762.99067943054,5744.09257978422,4904.43994408978,6663.13086733899
